n,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
k,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
m,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
l,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.9,0.9,0.9,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.9,0.9,0.9,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.9,0.9,0.9,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.9,0.9,0.9
s,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
algo,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank
0,1,5,4,3,13,10,12,14,12,14,16,11,16,15,16,2,9,6,6,14,12,17,21,17,20,21,20,22,21,19,1,11,10,5,13,11,15,24,20,21,23,24,23,24,22,4,12,11,6,17,15,18,21,21,23,24,23,24,25,24
1,1,8,4,5,15,10,10,15,12,13,14,14,17,18,15,5,10,10,7,14,13,16,17,16,18,21,21,19,19,19,2,13,11,8,20,15,20,25,23,25,26,24,27,26,26,7,13,11,9,17,14,14,19,18,25,26,24,25,26,23
2,0,9,5,2,13,9,10,15,11,11,17,10,15,16,15,4,8,6,6,18,12,9,20,17,20,19,18,18,21,20,3,12,10,5,18,17,18,22,22,26,26,24,25,25,25,5,13,13,9,14,13,14,22,18,25,28,25,22,23,23
3,0,4,2,2,8,7,9,13,11,16,16,16,17,16,15,1,10,12,8,14,13,17,20,20,20,20,16,19,22,22,2,10,9,7,18,18,20,24,22,20,22,23,22,23,23,4,12,13,13,24,18,18,23,24,23,24,22,24,23,23
4,0,8,5,1,8,5,8,14,11,15,15,15,18,19,15,0,9,6,8,13,11,15,20,18,21,21,21,22,22,18,6,14,13,4,12,12,18,23,20,25,28,25,25,28,24,8,11,12,7,14,12,19,21,21,27,27,26,21,24,25
